id	taxonID	identifier	parentNameUsageID	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	modified	scientificName	taxonRank	references
47179	https://www.inaturalist.org/taxa/47179	https://www.inaturalist.org/taxa/47179	https://www.inaturalist.org/taxa/571287	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Arctostaphylos	NA	NA	2020-09-14T19:58:27Z	Arctostaphylos	genus	http://www.catalogueoflife.org/browse_taxa.php?selected_taxon=58162
48023	https://www.inaturalist.org/taxa/48023	https://www.inaturalist.org/taxa/48023	https://www.inaturalist.org/taxa/47179	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Arctostaphylos	auriculata	NA	2021-04-27T20:45:05Z	Arctostaphylos auriculata	species	http://ucjeps.berkeley.edu/interchange.html
48345	https://www.inaturalist.org/taxa/48345	https://www.inaturalist.org/taxa/48345	https://www.inaturalist.org/taxa/919967	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Gaylussacia	NA	NA	2021-01-23T11:01:56Z	Gaylussacia	genus	http://www.ubio.org/browser/details.php?namebankID=452057
48346	https://www.inaturalist.org/taxa/48346	https://www.inaturalist.org/taxa/48346	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	×	NA	2019-03-13T07:43:39Z	Vaccinium × atlanticum	hybrid	http://www.ubio.org/browser/details.php?namebankID=476410
48347	https://www.inaturalist.org/taxa/48347	https://www.inaturalist.org/taxa/48347	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	membranaceum	NA	2019-11-23T04:31:24Z	Vaccinium membranaceum	species	http://www.ubio.org/browser/details.php?namebankID=452005
48348	https://www.inaturalist.org/taxa/48348	https://www.inaturalist.org/taxa/48348	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	deliciosum	NA	2019-11-23T04:31:22Z	Vaccinium deliciosum	species	http://www.ubio.org/browser/details.php?namebankID=451997
48349	https://www.inaturalist.org/taxa/48349	https://www.inaturalist.org/taxa/48349	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	ovatum	NA	2019-12-28T20:33:10Z	Vaccinium ovatum	species	http://www.ubio.org/browser/details.php?namebankID=2649131
48350	https://www.inaturalist.org/taxa/48350	https://www.inaturalist.org/taxa/48350	https://www.inaturalist.org/taxa/48353	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	×	NA	2021-02-22T20:39:36Z	Vaccinium × carolinianum	hybrid	http://www.ubio.org/browser/details.php?namebankID=476411
48351	https://www.inaturalist.org/taxa/48351	https://www.inaturalist.org/taxa/48351	https://www.inaturalist.org/taxa/48345	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Gaylussacia	nana	NA	2019-02-16T15:13:22Z	Gaylussacia nana	species	http://www.ubio.org/browser/details.php?namebankID=452063
48353	https://www.inaturalist.org/taxa/48353	https://www.inaturalist.org/taxa/48353	https://www.inaturalist.org/taxa/919967	Plantae	Tracheophyta	Magnoliopsida	Ericales	Ericaceae	Vaccinium	NA	NA	2019-11-22T22:59:41Z	Vaccinium	genus	http://www.ubio.org/browser/details.php?namebankID=451984
