#BaseNum	Read1_linear	Read1_log
1	2.000	2.000
2	2.000	2.000
3	2.000	2.000
4	2.000	2.000
5	2.000	2.000
6	2.000	2.000
7	2.000	2.000
8	2.000	2.000
9	2.000	2.000
10	2.000	2.000
11	2.000	2.000
12	2.000	2.000
13	2.000	2.000
14	2.000	2.000
15	2.000	2.000
16	2.000	2.000
17	2.000	2.000
18	2.000	2.000
19	2.000	2.000
20	2.000	2.000
21	2.000	2.000
22	2.000	2.000
23	2.000	2.000
24	2.000	2.000
25	2.000	2.000
26	2.000	2.000
27	2.000	2.000
28	2.000	2.000
29	2.000	2.000
30	2.000	2.000
31	2.000	2.000
32	2.000	2.000
33	2.000	2.000
34	2.000	2.000
35	2.000	2.000
36	2.000	2.000
37	2.000	2.000
38	2.000	2.000
39	2.000	2.000
40	2.000	2.000
41	2.000	2.000
42	2.000	2.000
43	2.000	2.000
44	2.000	2.000
45	2.000	2.000
46	2.000	2.000
47	2.000	2.000
48	2.000	2.000
49	2.000	2.000
50	2.000	2.000
51	2.000	2.000
52	2.000	2.000
53	2.000	2.000
54	2.000	2.000
55	2.000	2.000
56	2.000	2.000
57	2.000	2.000
58	2.000	2.000
59	2.000	2.000
60	2.000	2.000
61	2.000	2.000
62	2.000	2.000
63	2.000	2.000
64	2.000	2.000
65	2.000	2.000
66	2.000	2.000
67	2.000	2.000
68	2.000	2.000
69	2.000	2.000
70	2.000	2.000
71	2.000	2.000
72	2.000	2.000
73	2.000	2.000
74	2.000	2.000
75	2.000	2.000
76	2.000	2.000
77	2.000	2.000
78	2.000	2.000
79	2.000	2.000
80	2.000	2.000
81	2.000	2.000
82	4.000	4.000
83	2.000	2.000
84	2.000	2.000
85	2.000	2.000
86	2.000	2.000
87	2.000	2.000
88	2.000	2.000
89	2.000	2.000
90	2.000	2.000
91	2.000	2.000
92	2.000	2.000
93	2.000	2.000
94	2.000	2.000
95	2.000	2.000
96	2.000	2.000
97	2.000	2.000
98	2.000	2.000
99	2.000	2.000
100	2.000	2.000
101	2.000	2.000
102	2.000	2.000
103	2.000	2.000
104	2.000	2.000
105	2.000	2.000
106	2.000	2.000
107	2.000	2.000
108	2.000	2.000
109	2.000	2.000
110	2.000	2.000
111	2.000	2.000
112	2.000	2.000
113	2.000	2.000
114	2.000	2.000
115	2.000	2.000
116	2.000	2.000
117	2.000	2.000
118	2.000	2.000
119	2.000	2.000
120	2.000	2.000
121	2.000	2.000
122	2.000	2.000
123	2.000	2.000
124	2.000	2.000
125	2.000	2.000
126	2.000	2.000
127	2.000	2.000
128	2.000	2.000
129	2.000	2.000
130	2.000	2.000
131	3.000	3.000
132	3.000	3.000
133	8.000	8.000
134	6.000	6.000
135	2.000	2.000
136	2.000	2.000
137	2.000	2.000
138	2.000	2.000
139	5.000	5.000
140	5.000	5.000
141	4.000	4.000
142	2.000	2.000
143	2.000	2.000
144	2.000	2.000
145	2.000	2.000
146	2.000	2.000
147	2.000	2.000
148	2.000	2.000
149	2.000	2.000
150	2.000	2.000
151	2.000	2.000
152	2.000	2.000
153	2.000	2.000
154	2.000	2.000
155	2.000	2.000
156	2.000	2.000
157	2.000	2.000
158	2.000	2.000
159	2.000	2.000
160	2.000	2.000
161	2.000	2.000
162	2.000	2.000
163	2.000	2.000
164	2.000	2.000
165	2.000	2.000
166	2.000	2.000
167	2.000	2.000
168	2.000	2.000
169	2.000	2.000
170	2.000	2.000
171	2.000	2.000
172	2.000	2.000
173	2.000	2.000
174	2.000	2.000
175	2.000	2.000
176	2.000	2.000
177	2.000	2.000
178	2.000	2.000
179	2.000	2.000
180	2.000	2.000
181	2.000	2.000
182	2.000	2.000
183	2.000	2.000
184	2.000	2.000
185	2.000	2.000
186	2.000	2.000
187	2.000	2.000
188	2.000	2.000
189	2.000	2.000
190	2.000	2.000
191	2.000	2.000
192	2.000	2.000
193	2.000	2.000
194	2.000	2.000
195	2.000	2.000
196	2.000	2.000
197	2.000	2.000
198	2.000	2.000
199	2.000	2.000
200	2.000	2.000
201	2.000	2.000
202	2.000	2.000
203	2.000	2.000
204	2.000	2.000
205	2.000	2.000
206	2.000	2.000
207	2.000	2.000
208	2.000	2.000
209	2.000	2.000
210	2.000	2.000
211	2.000	2.000
212	2.000	2.000
213	2.000	2.000
214	2.000	2.000
215	2.000	2.000
216	2.000	2.000
217	2.000	2.000
218	2.000	2.000
219	2.000	2.000
220	2.000	2.000
221	2.000	2.000
222	2.000	2.000
223	2.000	2.000
224	2.000	2.000
225	2.000	2.000
226	2.000	2.000
227	2.000	2.000
228	2.000	2.000
229	2.000	2.000
230	2.000	2.000
231	2.000	2.000
232	2.000	2.000
233	2.000	2.000
234	2.000	2.000
235	2.000	2.000
236	2.000	2.000
237	2.000	2.000
238	2.000	2.000
239	2.000	2.000
240	2.000	2.000
241	2.000	2.000
242	2.000	2.000
243	2.000	2.000
244	2.000	2.000
245	2.000	2.000
246	2.000	2.000
247	2.000	2.000
248	2.000	2.000
249	2.000	2.000
250	2.000	2.000
251	2.000	2.000
252	2.000	2.000
253	6.000	6.000
254	3.000	3.000
255	2.000	2.000
256	3.000	3.000
257	3.000	3.000
258	3.000	3.000
259	2.000	2.000
260	2.000	2.000
261	10.000	10.000
262	10.000	10.000
263	2.000	2.000
264	2.000	2.000
265	2.000	2.000
266	2.000	2.000
267	2.000	2.000
268	2.000	2.000
269	2.000	2.000
270	2.000	2.000
271	2.000	2.000
272	2.000	2.000
273	2.000	2.000
274	2.000	2.000
275	2.000	2.000
276	2.000	2.000
277	2.000	2.000
278	2.000	2.000
279	2.000	2.000
280	2.000	2.000
281	2.000	2.000
282	2.000	2.000
